AIRLINES,YEAR,MONTH,"DEPARTURES
(IN NUMBER)","HOURS
(IN NUMBER)","KILOMETRE
(IN THOUSAND)","PASSENGERS CARRIED
(IN NUMBER)","PASSENGER KMS.PERFORMED
(IN THOUSAND)","AVAILABLE SEAT KILOMETRE
(IN THOUSAND)"," PAX.LOAD FACTOR#
(IN %)"," FREIGHT
(IN TONNE)","MAIL
(IN TONNE)"," TOTAL
(IN TONNE)"," PASSENGER
(IN THOUSAND)","FREIGHT
(IN THOUSAND)"," MAIL
(IN THOUSAND)"," TOTAL
(IN THOUSAND)","AVAILABLE TONNE KILOMETRE
(IN THOUSAND)"," WEIGHT LOAD FACTOR##
(IN %)"
AIR ASIA,2021,JAN,4495,8590.4,4621.139,531578,558871.307,836264.022,66.82952899,3175.7262,230.1885,3405.9147,37494.47288,4067.437374,269.2422575,41831.15251,92422.78,45.26065166
AIR ASIA,2021,FEB,4340,8239.033333,4417,520603,542276.763,798746.808,67.89094586,3410.6377,211.8922,3622.5299,39555.5841,4264.010976,251.9886241,44071.5837,88341.12,49.88796124
AIR ASIA,2021,MAR,4727,9023.3,4855.674,541512,572123.104,878405.634,65.13199391,3662.2624,211.7535,3874.0159,38524.44195,4577.131657,280.847992,43382.4216,97113.48,44.67188448
AIR ASIA,2021,APR,3195,6341.383333,3481.586,354878,403399.335,630122.874,64.0191543,2487.1216,169.238,2656.3596,27963.79866,3332.789591,208.0441145,31504.63237,69631.72,45.24465627
AIR ASIA,2021,MAY,809,1562.15,867.183,63532,70007.636,157745.28,44.38017797,1344.1482,57.5075,1401.6557,4039.994933,1744.005877,114.999778,5899.000588,17343.66,34.01243214
AIR ASIA,2021,JUNE,1081,1998.433333,1082.085,106632,107461.227,197372.13,54.44599853,999.862,97.4495,1097.3115,5674.441101,2390.072116,191.921503,8256.43472,21641.7,38.15058299
AIR ASIA,2021,JULY,1721,3141.533333,1700.45,164608,165951.701,309698.724,53.58488368,1453.455,135.3095,1588.7645,8240.750566,3073.852856,270.4880195,11585.09144,34009,34.06478121
AIR ASIA,2021,AUG,3292,6357.566667,3492.792,348656,382173.526,633516.762,60.32571653,2804.6788,134.4924,2939.1712,20551.43027,6955.750691,297.6533518,27804.83431,69855.84,39.80316365
AIR ASIA,2021,SEP,3475,6675.316667,3639.185,412671,448865.64,659935.56,68.01658635,3091.195,189.823,3281.018,24701.41309,7028.240434,418.2643095,32147.91783,72783.7,44.16911731
AIR ASIA,2021,OCT,4387,8476.8,4621.564,571707,617485.833,837436.752,73.73522019,3535.084,221.0307,3756.1147,41769.47454,8406.168235,484.0902355,50659.73301,92431.28,54.80799683
AIR ASIA,2021,NOV,4746,9139.366667,4952.035,622726,669896.994,897643.026,74.62844077,2550.6509,231.0972,2781.7481,45403.55194,6130.015771,500.820759,52034.38847,99040.7,52.53838924
AIR ASIA,2021,DEC,5347,10199.2,5518.95,701054,741750.45,999864.354,74.18510791,2860.8926,257.2322,3118.1248,52163.88832,6794.479982,519.4011061,59477.7694,110379,53.885041
AIR ASIA,2020,JAN,6303,11761.43333,6402.556,882765,936059.89,1180322.82,79.30541324,3780.765,72.3505,3853.1155,78253.2981,4810.399769,75.347551,83139.04542,176204.4922,47.18327234
AIR ASIA,2020,FEB,6096,11285.68333,6108.725,896653,942780.972,1127590.56,83.61022214,3484.688,77.8346,3562.5226,78331.7359,4419.290871,87.869179,82838.89595,168332.3567,49.21151082
AIR ASIA,2020,MAR,4911,9127.2,4852.591,591780,631541.269,913760.28,69.11454599,2388.399,69.4098,2457.8088,51920.45525,2924.261702,79.8971988,54924.61415,134750.3258,40.76028301
AIR ASIA,2020,APR,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIR ASIA,2020,MAY,267,514.5166667,305.909,21941,25328.698,55063.62,45.99896992,153.861,11.0372,164.8982,2159.226363,217.144081,14.2028108,2390.573255,8220.172512,29.08178936
AIR ASIA,2020,JUNE,1373,2681,1199,139934,161108,284946,56.53983562,1522.0746,159.5129,1681.5875,13803,2087,166.1,16056.1,42538,37.74531008
AIR ASIA,2020,JULY,1301,2490.3,1481.598,129780,149745.203,266687.64,56.15003492,1590.0028,118.5717,1708.5745,12607.34125,1945.603484,109.8236575,14662.76839,39812.46434,36.82959252
AIR ASIA,2020,AUG,1719,3206.516667,1735.753,192401,201318.137,312435.54,64.435095,1963.6927,127.881,2091.5737,16699.5972,2252.992662,117.456943,19070.04681,34715.06,54.93306595
AIR ASIA,2020,SEP,2239,4373.433333,2397.049,234679,251896.237,431468.82,58.38109855,2803.765,179.717,2983.482,20700.7441,3318.027207,174.1772035,24192.94851,47940.98,50.46402578
AIR ASIA,2020,OCT,3311,6580.316667,3613.297,373616,409868.282,650856.81,62.97364884,4151.2892,214.7915,4366.0807,33841.80508,5147.207421,241.2109465,39230.22344,72300,54.26033671
AIR ASIA,2020,NOV,3541,6999.816667,3835.221,421272,458360.802,691665.432,66.26914991,3926.2454,235.2429,4161.4883,38723.69961,4943.735342,255.2825086,43922.71746,76704.42,57.26230309
AIR ASIA,2020,DEC,4324,8427.6,4595.643,502311,540718.942,830448.324,65.11169044,4080.3514,227.6659,4308.0173,39881.86527,5171.642276,261.7108908,45315.21843,91912.86,49.30237013
AIR ASIA,2019,JAN,4190,7626.43,4437.72,666971,714801.97,798789.06,89.48569851,2020.24,0,2020.24,59710.68,2482.07,0,62192.75,117041.41,53.13738958
AIR ASIA,2019,FEB,3528,6521.83,3793.35,583216,634592.868,682803.72,92.939281,1927.017,0,1927.017,52665.26,2408.769,0,55074.029,101932.353,54.02997908
AIR ASIA,2019,MAR,4358,8007.73,4669.07,686701,743864.485,840432.24,88.50975124,2477.951,0,2477.951,61531.05,3032.409,0,64563.459,125463.927,51.45977855
AIR ASIA,2019,APR,4461,8049,4714.55,677989,742315.96,848618.46,87.47346363,2241.9304,0,2241.9304,60043.83,2859.25,0,62903.08,121233.82,51.88575267
AIR ASIA,2019,MAY,4860,8891.266667,4976.595,768200,806091.743,910562.94,88.52674621,3123.937,0,3123.937,67130.02379,3988.065167,0,71118.08896,130957.0118,54.30643839
AIR ASIA,2019,JUNE,4770,8756.15,4939.471,771955,818615.894,902447.1,90.71067922,2857.618,0,2857.618,68022.96049,3562.477578,0,71585.43807,130070.5545,55.03585214
AIR ASIA,2019,JULY,4835,8888.833333,4963.145,770996,811080.599,905749.74,89.54798033,2837.844,0,2837.844,66892.41921,3481.296854,0,70373.71607,130595.5929,53.8867465
AIR ASIA,2019,AUG,4897,9030.316667,5053.698,762998,798989.626,909665.64,87.83333028,3110.9331,0,3110.9331,65784.3142,3938.532755,0,69722.84696,134284.055,51.92191059
AIR ASIA,2019,SEP,4827,8916.816667,4971.956,725467,766363.992,904466.88,84.73101768,3415.454,0,3415.454,62989.12577,4394.720429,0,67383.8462,130963.8909,51.45223294
AIR ASIA,2019,OCT,5415,10227.38333,5098.778,803242,860720.367,1036485.18,83.04222613,3857.531,0,3857.531,71578.02102,4517.316604,0,76095.33763,132798.9588,57.30115529
AIR ASIA,2019,NOV,5682,10306.11667,5837.076,877973,916091.382,1050673.68,87.19085663,3246.219,19.119,3265.338,76175.915,4298.327144,0.019119,80474.26126,156849.8203,51.30656898
AIR ASIA,2019,DEC,6120,11361.76667,6159.874,911052,958409.291,1136366.46,84.33980804,3432.7163,58.581,3491.2973,80127.3148,4420.384212,58.27946,84605.97847,169642.467,49.87311254
AIR ASIA,2018,JAN,3264,4686,3007,489432,457114,541171,84.46757125,1449,0,1449,37889,1743,0,39632,80789,49.05618339
AIR ASIA,2018,FEB,2933,5233,2715,455887,430094,488681,88.01119749,1435.5,0,1435.5,35549,1617.4,0,37166.4,72952.7,50.94588686
AIR ASIA,2018,MAR,3625,6370.8,3269.2,523568,482817.9,588452.8,82.04870467,1803.8,0,1803.8,39830,2038.2,0,41868.2,87847.2,47.66025553
AIR ASIA,2018,APR,3731,6722.2,3495,579203,550403.7,629101.8,87.49040298,1941.6,0,1941.6,45550,2208.3,0,47758.3,93915.5,50.8524152
AIR ASIA,2018,MAY,4078,7299.7,3786.8,647586,611718.1,681756.7,89.72674563,2143.7,0,2143.7,50794.5,2373,0,53167.5,102028,52.1106951
AIR ASIA,2018,JUNE,3849,12364.7,3711.6,600731,594715.2,803248.7,74.03873794,2110.8,0,2110.8,49454.8,2362.5,0,51817.3,98606.3,52.54968496
AIR ASIA,2018,JULY,3885,12459.8,3824.6,557633,556996.3,692899.9,80.38625781,2702.5,0,2702.5,45940.5,3186.5,0,49127,102515.9,47.92134683
AIR ASIA,2018,AUG,3916,7443.65,3788.57,537079,550158.29,718207.74,76.60155403,2900.131,0,2900.131,45262.01,3485.57,0,48747.58,107620.42,45.29584627
AIR ASIA,2018,SEP,3861,12077,3709.87,498138,490208.02,688614.3,71.18760386,2657.31,0,2657.31,39366.09,3109.66,0,42475.75,100673.19,42.19171956
AIR ASIA,2018,OCT,4315,7995.08,4001.71,643358,635667.4,759506.76,83.69476527,2697.4,0,2697.4,48136.65,3200.7,0,51337.35,113382.97,45.27783141
AIR ASIA,2018,NOV,3969,7323.78,3733.44,617740,613381.53,695250,88.22459978,2286.873,0,2286.873,51228.03,2649.51,0,53877.54,103790.4,51.90994543
AIR ASIA,2018,DEC,4213,7726.65,3840.43,673179,654723.77,730517.4,89.62466466,2347.426,0,2347.426,54753.95,2735.73,0,57489.68,109055.29,52.71608557
AIR ASIA,2017,JAN,1843,2713,1764,286465,277520,317591,87.4,0,0,0,23340,0,0,23340,47412,49.2
AIR ASIA,2017,FEB,1513,2366,1479,238032,234643,266273,88.1,265,0,265,19631,266,0,19897,39751,50.1
AIR ASIA,2017,MAR,1832,2910,1713,282824,268888,308317,87.2,791,0,791,20167,994,0,21161,46027,46
AIR ASIA,2017,APR,1868,2875,1900,298224,308378,342086,90.1,580,0,580,25564,631,0,26195,51068,51.3
AIR ASIA,2017,MAY,2092,3137,2052,332151,330252,369381,89.4,0,0,0,27074,0,0,27074,55143,49.1
AIR ASIA,2017,JUNE,2258,3234,2114,350738,340894,380582,89.6,593,0,593,28328,883,0,29211,56815,51.4
AIR ASIA,2017,JULY,2213,3218,2122,342543,337484,381929,88.4,768,0,768,27909,828,0,28737,57016,50.4
AIR ASIA,2017,AUG,2725,3503,2550,415853,393629,458946,85.8,182.5,0,182.5,32447.9,150.7,0,32598.6,68513.7,47.6
AIR ASIA,2017,SEP,2634,3874,2569,394372,377221,462374,81.6,758.9,0,758.9,29817,757,0,30574,67290,45.4
AIR ASIA,2017,OCT,3116,4427,2889,451680,431402,519971,83,943.5,0,943.5,32909,911,0,33820,72164,46.9
AIR ASIA,2017,NOV,2888,4070,2630,436901,407082,473480,86,0,0,0,30610,0,0,30610,64555,47.4
AIR ASIA,2017,DEC,3190,4525,2896,493070,455347,521248,87.4,1603,0,1603,34142,1514,0,35656,77814,45.8
AIR ASIA,2016,JAN,1196,1667,1343,174996,198046,241751,81.92148119,1002,0,1002,16665,1443,0,18108,36090,50.17456359
AIR ASIA,2016,FEB,1084,1526,1211,166829,189144,217977,86.77245764,1094,0,1094,15884,1452,0,17336,32541,53.27433084
AIR ASIA,2016,MAR,1216,2043,1378,176832,205005,247991,82.66630644,1021,0,1021,17175,1488,0,18663,37021,50.41192836
AIR ASIA,2016,APR,1110,1813,1226,167422,187232,220757,84.81361859,1001,0,1001,15704,1413,0,17117,32956,51.9389489
AIR ASIA,2016,MAY,1218,2050,1382,190379,215828,248765,86.75979338,982,0,982,18004,1413,0,19417,37137,52.28478337
AIR ASIA,2016,JUNE,1080,1863,1265,173192,205349,227723,90.17490548,912,0,912,17150,911.6,0,18061.6,33996,53.12860337
AIR ASIA,2016,JULY,1232,2084,1409,190509,217444,253660,85.72262083,1278,0,1278,18139,1278.1,0,19417.1,37868,51.27574733
AIR ASIA,2016,AUG,1236,2094,1415,187620,212354,254783,83.3470051,1200,0,1200,17623,1078.9,0,18701.9,38035,49.17023794
AIR ASIA,2016,SEP,1260,2119,1433,187920,213672,257982,82.8243831,1114,0,1114,17562,1114.1,0,18676.1,38513,48.4929764
AIR ASIA,2016,OCT,1666,2547,1622,235607,239585,306077,78.27605472,1139,0,1139,19631,1139,0,20770,45693,45.45554024
AIR ASIA,2016,NOV,1634,2434,1596,251322,249659,287257,86.91137205,758,0,758,20589,756,0,21345,42883,49.7749691
AIR ASIA,2016,DEC,1816,2705,1785,277261,277173,321267,86.27496755,0,0,0,22875,0,0,22875,47960,47.69599666
AIR ASIA,2015,JAN,598,784.4,501,81434,68778,90176,76.27084812,529.3,0,529.3,5803.1,619.4,0,6422.5,13461.9,47.70871868
AIR ASIA,2015,FEB,526,725.5,462,72278,64777,83205,77.85229253,555.4,0,555.4,5427.8,686.5,0,6114.3,12421.3,49.2243163
AIR ASIA,2015,MAR,546,750.5,485,68790,62519,87226,71.67473001,535.1,0,535.1,5222.5,653.9,0,5876.4,13021.5,45.12844142
AIR ASIA,2015,APR,536,749.5,492,72313,65906,88569,74.41204033,450.8,0,450.8,5513.7,668.7,0,6182.4,13222.1,46.75807928
AIR ASIA,2015,MAY,646,997.1,656,93778,96130,118160,81.35578876,660.4,0,660.4,8081.9,1001.9,0,9083.8,22372.2,40.60306988
AIR ASIA,2015,JUNE,846,1413.3,953,125721,144151,171612,83.99820525,1067.5,0,1067.5,12146.3,1476.9,0,13623.2,25619.1,53.17595076
AIR ASIA,2015,JULY,989,1589.4,1074,142636,155029,193235,80.22821953,1150.5,0,1150.5,12963.7,1549.2,0,14512.9,28847.1,50.30973651
AIR ASIA,2015,AUG,1026,1631.3,1112,134408,144349,200152,72.11968904,1438,0,1438,12074.1,1716.1,0,13790.2,29879.8,46.15225002
AIR ASIA,2015,SEP,1017,1599.8,1097,124861,133601,197384,67.68583067,1067.6,0,1067.6,11108.7,1484.3,0,12593,29466.4,42.7368121
AIR ASIA,2015,OCT,1048,1600,1125,150139,163238,202527,80.60061128,1067.7,0,1067.7,13663.3,1551.9,0,15215.2,30234.2,50.32446699
AIR ASIA,2015,NOV,1098,1446,1213,161812,181137,218283,82.9826418,955,0,955,15270,1360,0,16630,32586,51.03418646
AIR ASIA,2015,DEC,1230,1726,1390,181483,206958,250168,82.72760705,1106,0,1106,17610,1591,0,19201,37346,51.41380603
VISTARA,2021,JAN,4359,7169.33,4790.257,514479,563747.721,804955.657,70.03463062,3428.646,0,3428.646,50737.29489,4389.061083,0,55126.35597,85695.0563,64.32851363
VISTARA,2021,FEB,4344,7290.26,4867.434,540244,599906.941,813739.75,73.72221168,3772.591,0,3772.591,53991.78336,4909.779972,0,58901.56333,85725.4443,68.7095457
VISTARA,2021,MAR,4678,7813,5254.559,499846,565503.537,876286.929,64.53406051,3677.611,0,3677.611,50895.31833,4795.903066,0,55691.2214,91732.9639,60.71015154
VISTARA,2021,APR,3491,5937.13,3937.354,310936,356306.752,652790.98,54.5820581,2912.029,0,2912.029,32067.60768,3832.112208,0,35899.71989,67877.2817,52.88915376
VISTARA,2021,MAY,1464,2336.34,1590.582,97031,108606.828,265657.85,40.8822205,2018.775,0,2018.775,9774.61452,2603.630871,0,12378.24539,27783.4729,44.55254905
VISTARA,2021,JUNE,2220,3584.49,2469.887,224532,248770.817,414602.379,60.00226472,3466.108,0,3466.108,22389.37353,4542.164734,0,26931.53826,43135.3625,62.43494132
VISTARA,2021,JULY,3458,5751.04,3936.211,406943,457545.397,660859.881,69.23485752,4481.652,0,4481.652,41179.08573,5894.205704,0,47073.29143,69504.9906,67.72649133
VISTARA,2021,AUG,4656,7526.1,5185.177,558021,617826.255,866416.984,71.30818837,4536.842,0,4536.842,55604.36295,5850.098993,0,61454.46194,90470.5607,67.92757939
VISTARA,2021,SEP,5069,8267.55,5622.432,611819,679315.827,938752.252,72.36369612,4520.08,0,4520.08,61138.42443,5871.206332,0,67009.63076,98094.5557,68.31126385
VISTARA,2021,OCT,5576,1201.54,6159.935,696351,776158.8,1030600.282,75.311332,4659.75,0,4659.75,69854.292,6040.420582,0,75894.71258,107843.7339,70.37470777
VISTARA,2021,NOV,6135,1291.41,6764.922,793152,873064.279,1133870.254,76.99860508,3963.23,316.08434,4279.31434,78575.78511,5200.2456,414.7175074,84190.74822,118044.906,71.32094986
VISTARA,2021,DEC,6581,10847.5,7199.334,861086,943780.693,1208669.462,78.08426726,4045.183,334.21677,4379.39977,84940.26237,5256.886413,433.011646,90630.16043,123870.9353,73.16499242
VISTARA,2020,JAN,6052,10751.47,6436.737,830945,885425.029,1060196.124,83.51521091,1455.599,0,1455.599,79688.25261,2017.232127,0,81705.48474,99272.1939,82.30450192
VISTARA,2020,FEB,5766,10409.52,6086.931,833783,882305.913,1002708.516,87.99226285,1888.45,0,1888.45,79407.53217,2412.982344,0,81820.51451,94613.6276,86.47857247
VISTARA,2020,MAR,4182,7227.35,4456.119,457191,488179.074,734927.56,66.42546838,1360.488,0,1360.488,43936.11666,1823.305695,0,45759.42236,76843.6773,59.54871495
VISTARA,2020,APR,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VISTARA,2020,MAY,256,378.2,255.284,18416,18946.353,42976.544,44.08533408,67.202,0,67.202,1705.17177,98.661829,0,1803.833599,4616.1149,39.07687824
VISTARA,2020,JUNE,1179,1976.14,1360,111914,130240,230117,56.59729616,1168.268,0,1168.268,11722,1656,0,13378,24866,53.80036998
VISTARA,2020,JULY,993,0,1121.492,88235,100586.603,189529.484,53.07174424,1644.994,0,1644.994,9052.79427,2344.629377,0,11397.42365,18566.0833,61.38841167
VISTARA,2020,AUG,1282,2005.08,1353.047,141648,157701.778,230743.078,68.3451826,2211.73,0,2211.73,14193.16002,2944.837011,0,17137.99703,19634.8036,87.2837711
VISTARA,2020,SEP,2374,3863.24,2645.092,258441,294649.239,441959.79,66.66878881,3756.62,0,3756.62,26518.43151,5060.776713,0,31579.20822,34568.7529,91.35188739
VISTARA,2020,OCT,3093,5044.33,3457.575,339454,374807.299,574898.178,65.19542301,4274.462,0,4274.462,33732.65691,5658.442168,0,39391.09908,60075.1121,65.56974711
VISTARA,2020,NOV,3324,5440.34,3694.811,397302,439851.271,621558.65,70.76585146,3913.83,0,3913.83,39586.61439,5155.587417,0,44742.20181,66063.36,67.72619771
VISTARA,2020,DEC,4132,6815.01,4557.624,461382,506985.367,759198.836,66.77899688,3612.017,0,3612.017,45628.2198,4622.81085,0,50251.03065,79783.9098,62.9839159
VISTARA,2019,JAN,3454,6240.47,4090.854,470340,560324.13,665630.56,84.17944783,3882.52,0,3882.52,50429.172,5101.465,0,55530.637,70362.689,78.92057252
VISTARA,2019,FEB,3137,5634.235,3661.567,452362,532463.735,597498.662,89.11546902,3465.2345,0,3465.2345,47921.736,4540.298,0,52462.034,62978.952,83.30090028
VISTARA,2019,MAR,3485,6104.63,4081.152,490428,579567.694,667765.944,86.79204131,4122.4045,0,4122.4045,52161.092,5394.544,0,57555.636,70195.814,81.99297468
VISTARA,2019,APR,3755,6250.15,4176.91,516629,579240.801,685013.24,84.55906648,4047.301,0,4047.301,52131.672,5193.752,0,57325.424,71843,79.79263672
VISTARA,2019,MAY,4143,6710.45,4473.728,578615,628383.752,733694.696,85.64648967,4324.9902,0,4324.9902,56554.53768,5386.374653,0,61940.91233,75160.0346,82.41203275
VISTARA,2019,JUNE,4820,6680.77,5023.979,647799,690144.629,828585.091,83.29194388,4326.7649,0,4326.7649,62113.01661,5265.854218,0,67378.87083,85933.17,78.40845488
VISTARA,2019,JULY,5293,6941.466667,5468.044,714504,745810.334,904827.02,82.42573636,3724.1743,0,3724.1743,67122.93006,4486.218098,0,71609.14816,94377.2823,75.87540816
VISTARA,2019,AUG,5135,8343.22,5395.226,684209,730227.95,892292.28,81.83730448,2200.39123,0,2200.39123,65720.5155,2729.611957,0,68450.12746,92990.6068,73.60972233
VISTARA,2019,SEP,5055,6796.27,5346.344,664391,711176.73,885379.248,80.32453117,497.75756,0,497.75756,64005.9057,628.6832297,0,64634.58893,92579.4148,69.81529217
VISTARA,2019,OCT,5182,9229.39,5571.612,668715,718659.118,922395.884,77.91222082,262.38607,0,262.38607,64679.32062,343.9296846,0,65023.2503,95075.8979,68.39088743
VISTARA,2019,NOV,5496,9646.28,5823.103,760313,809168.923,962231.06,84.09299561,13.145,0,13.145,72825.20307,14.24943,0,72839.4525,94018.3151,77.47368417
VISTARA,2019,DEC,5914,10490.75,6299.424,791892,842999.685,1039351.432,81.10824299,31.844,0,31.844,75869.97165,39.901926,0,75909.87358,104900.4405,72.36373195
VISTARA,2018,JAN,2978,5221.3166,3367,409713,462847,532053,86.99264923,3385.466,0,3385.466,34713,4175,0,38888,50511,76.98917068
VISTARA,2018,FEB,2680,4796.1,3073,384225,443008,485646,91.22035392,3054.916,0,3054.916,33225,3922,0,37147,46105,80.57043705
VISTARA,2018,MAR,3181,5655.85,3693,442122,514716,583478,88.21515121,3924.4835,0,3924.4835,38603,5052,0,43655,55393,78.80959688
VISTARA,2018,APR,3309,5917.9,3838,462622,538297,606449,88.76212179,4261.319,0,4261.319,40372,5506,0,45878,57574,79.6852746
VISTARA,2018,MAY,3491,6327.5,4097.9,471499,554966.8,647462.2,85.71416215,5112.6,0,5112.6,41621.7,6648.4,0,48270.1,61460.3,78.53866642
VISTARA,2018,JUNE,3385,6067.2,3941.8,452177,528328.4,622800.6,84.83106792,5030,0,5030,47549,6503.4,0,54052.4,67789.8,79.73529941
VISTARA,2018,JULY,3405,6033.12,3928.3,451473,522033.6,620675.2,84.1073721,4845.7,0,4845.7,46983,6271.5,0,53254.5,67567.2,78.81708876
VISTARA,2018,AUG,3321,5831.97,3835.42,422985,494122.67,605995.89,81.5389474,4636.2481,0,4636.2481,44471.04,5977.7,0,50448.74,65969.17,76.47320711
VISTARA,2018,SEP,3264,5643.4,3737.258,436063,502368.423,591914.974,84.87172061,4848.973,0,4848.973,45213.1581,6229.0755,0,51442.2336,64280.8376,80.0273231
VISTARA,2018,OCT,3470,6022.57,3994.627,434761,508194.893,637488.416,79.71829452,5081.171,0,5081.171,45737.54,6534.828,0,52272.368,68707.584,76.07947326
VISTARA,2018,NOV,3342,5866.38,3862.618,415432,487427.348,621214.532,78.46361006,4199.0405,0,4199.0405,43868.461,5425.8,0,49294.261,66437.03,74.19696666
VISTARA,2018,DEC,3582,6329.85,4182.37,478133,563776.79,678617.036,83.07731166,4218.2668,0,4218.2668,50739.911,5494.585,0,56234.496,71936.764,78.17212351
VISTARA,2017,JAN,2268,4012.38,2560,303208,344156,404607,85.05932918,3201,0,3201,25812,3201,0,29013,38412,75.53108404
VISTARA,2017,FEB,2024,3537.98,2293,270016,308010,362317,85.01119186,2282,0,2282,23100,2769,0,25869,34397,75.20714016
VISTARA,2017,MAR,2265,3943.18,2564,291871,332989,405087,82.201848,2554,0,2554,24974,3105,0,28079,38457,73.01401565
VISTARA,2017,APR,2270,3971.15,2614,296589,345390,413102,83.60889078,2560,0,2560,25904,3165,0,29069,39218,74.12157683
VISTARA,2017,MAY,2446,4236.04,2770,334435,380116,437763,86.83145903,2736,0,2736,28509,3282,0,31791,41559,76.49606583
VISTARA,2017,JUNE,2554,4322.08,2816,343729,384365,444963,86.38133957,2841,0,2841,28827,3385,0,32212,42243,76.25405393
VISTARA,2017,JULY,2627,4504.71,2912,348947,389439,460162,84.6308474,3762,0,3762,29208,4603,0,33811,43686,77.39550428
VISTARA,2017,AUG,2737,4627.72,3003,358627,395704,474454,83.40197364,3892,0,3892,29678,4726,0,34404,45043,76.38034767
VISTARA,2017,SEP,2735,4699.57,3137,361728,416658,495643,84.06413487,4354,0,4354,31249,5346,0,36595,47054,77.77234667
VISTARA,2017,OCT,2910,5027.52,3321,369694,421189,524791,80.25842669,3892,0,3892,31589,4798,0,36387,49824,73.03106936
VISTARA,2017,NOV,2719,4794.23,3103,372467,425986,490360,86.87209397,3373,0,3373,31948,4149,0,36097,46553,77.53957854
VISTARA,2017,DEC,2986,5207,3388,412711,469209,535316,87.65084548,3614,0,3614,35190,4468,0,39658,50821,78.03467071
VISTARA,2016,JAN,1347,2240,1438,150066,159221,212803,74.82084369,1684,0,1684,11942,1912,0,13854,21568,64.23405045
VISTARA,2016,FEB,1341,2173.08,1390,148657,151970,205711,73.87548551,1610,0,1610,11398,1849,0,13247,20849,63.53781956
VISTARA,2016,MAR,1427,2311.23,1475,158084,163102,218315,74.70947942,1630,0,1630,12233,1842,0,14075,22121,63.62732245
VISTARA,2016,APR,1548,2476.65,1586,182880,187761,241145,77.86228203,1914,0,1914,14082,1914,0,15996,23785,67.25247004
VISTARA,2016,MAY,1797,2879.23,1824,221225,223694,279241,80.10786382,1795,0,1795,16777,2123,0,18900,27361,69.07642265
VISTARA,2016,JUNE,1890,3088.08,1990,226938,241416,305671,78.97903301,2839,0,2839,18106,2839,0,20945,29853,70.16045289
VISTARA,2016,JULY,1969,3278.35,2118,225103,248636,330543,75.22047056,2410,0,2410,18648,2910,0,21558,31765,67.86714938
VISTARA,2016,AUG,1892,3207.7,2067,205157,225991,326607,69.19355678,2740,0,2740,16949,2740,0,19689,31007,63.49856484
VISTARA,2016,SEP,1765,2962.8,1945,203216,223479,307339,72.71416904,2726,0,2726,16761,2726,0,19487,29178,66.78662006
VISTARA,2016,OCT,2123,3606.73,2373,232371,259588,375010,69.22162076,3344,0,3344,19469,3344,0,22813,35602,64.07786079
VISTARA,2016,NOV,2181,3810.016,2466,260447,289788,389729,74.35628347,2588,0,2588,21734,2588,0,24322,36999,65.73691181
VISTARA,2016,DEC,2260,3920.68,2557,304154,289788,343860,84.27499564,2988,0,2988,25789,3159,0,28948,38355,75.4738626
VISTARA,2015,JAN,216,291.16,206,14999,13843,30480,45.41666667,0,0,0,1038,0,0,1038,2971.845,34.92779738
VISTARA,2015,FEB,386,574.32,373,33317,32325,55183,58.57782288,670,0,670,2424.381,704.118,0,3128.499,5592.885,55.93712368
VISTARA,2015,MAR,702,1115.16,732,52603,58080,108297,53.63029447,1287,0,1287,4356,1420.7,0,5776.7,10976.1,52.62980476
VISTARA,2015,APR,814,1285.01,833,79415,83024,123352,67.30656982,1401,0,1401,6226.784,1577.248,0,7804.032,12501.885,62.42284264
VISTARA,2015,MAY,907,0,913,93037,96151,135196,71.11970768,1599,0,1599,7211.291,1787.539,0,8998.83,13702.32,65.67376911
VISTARA,2015,JUNE,982,1540.56,986,84313,86520,145985,59.26636298,1694.7417,0,1694.7417,6489.017,1918.391,0,8407.408,14795.76,56.82308986
VISTARA,2015,JULY,1063,1686.45,1071,94871,95612,158522,60.31465664,1972,0,1972,7170.891,2294.077,0,9464.968,16066.44,58.91142033
VISTARA,2015,AUG,1079,1672.38,1074,99070,100029,159022,62.90261725,1682,0,1682,7502.161,1924.141,0,9426.302,16117.14,58.48619544
VISTARA,2015,SEP,1068,1622.14,1056,97578,97475,156247,62.3851978,1486,0,1486,7310.641,1698.094,0,9008.735,15835.86,56.88819553
VISTARA,2015,OCT,1250,1921.25,1262,122815,125179,186760,67.02666524,2151,0,2151,9388.418,2418.551,0,11806.969,18928.425,62.37692254
VISTARA,2015,NOV,1268,1979.86,1297,136357,138517,191935,72.16870295,1754,0,1754,10388.797,1978.374,0,12367.171,19452.84,63.57514378
VISTARA,2015,DEC,1374,2233.97,1440,158348,165414,213191,77.5895793,1751,0,1751,12406,1982,0,14388,21607,66.58953117
INDIGO,2021,JAN,34461,61464.9,31362.842,4202712,3983767,5746935,69.31985484,16154.85531,2151.0053,18305.86061,358449.5231,18385.23342,1964.640118,378799.3967,602126.9502,62.91022126
INDIGO,2021,FEB,32690,58239.43,29692.342,4238466,4039127,5431221,74.36867327,16743.80505,2101.37318,18845.17823,363480.5081,18924.99126,1861.830594,384267.33,571151.9802,67.27934828
