AIRLINES,YEAR,MONTH,"DEPARTURES
(IN NUMBER)","HOURS
(IN NUMBER)","KILOMETRE
(IN THOUSAND)","PASSENGERS CARRIED
(IN NUMBER)","PASSENGER KMS.PERFORMED
(IN THOUSAND)","AVAILABLE SEAT KILOMETRE
(IN THOUSAND)"," PAX.LOAD FACTOR#
(IN %)"," FREIGHT
(IN TONNE)","MAIL
(IN TONNE)"," TOTAL
(IN TONNE)"," PASSENGER
(IN THOUSAND)","FREIGHT
(IN THOUSAND)"," MAIL
(IN THOUSAND)"," TOTAL
(IN THOUSAND)","AVAILABLE TONNE KILOMETRE
(IN THOUSAND)"," WEIGHT LOAD FACTOR##
(IN %)"
STAR AIR,2021,FEB,455,599,318.268,17886,12827.262,15913.4,80.60667111,0,0,0,1154.454,0,0,1154.454,7001.896,16.48773418
STAR AIR,2021,MAR,532,725,375.505,18746,13926.577,18775.25,74.17518808,0,0,0,1253.392,0,0,1253.392,8261.11,15.17219841
STAR AIR,2021,APR,453,634,334.041,12578,10226.53,16702.05,61.22919043,0,0,0,920.388,0,0,920.388,8261.11,11.14121468
STAR AIR,2021,MAY,332,480,255.168,6847,5670.236,12758.4,44.44315902,0,0,0,510.321,0,0,510.321,5613.696,9.090641887
STAR AIR,2021,JUNE,379,533,286.244,12492,9940.339,14312.2,69.45360601,0,0,0,894.631,0,0,894.631,6297.368,14.20642719
STAR AIR,2021,JULY,470,533,345.329,16469,12926.141,17266.45,74.86275986,0,0,0,1168.54,0,0,1168.54,7597.238,15.38111614
STAR AIR,2021,AUG,517,712.05,379.337,18187,14272.447,18966.85,75.24943256,0,0,0,1289.045,0,0,1289.045,8345.414,15.44614803
STAR AIR,2021,SEP,529,764.52,408.394,18158,14957.533,20419.7,73.25050319,0,0,0,1346.178,0,0,1346.178,8984.668,14.9830578
STAR AIR,2021,OCT,513,736.17,393.375,19525,15732.7,19668.75,79.98830632,0,0,0,1415.943,0,0,1415.943,8654.25,16.36124448
STAR AIR,2021,NOV,525,736.17,398.59,20541,16253.448,19929.5,81.55472039,0,0,0,1462.81,0,0,1462.81,8768.98,16.6816437
STAR AIR,2021,DEC,537,775.22,414.068,21315,17030.776,20703.4,82.26076876,0,0,0,1532.77,0,0,1532.77,9109.496,16.82606809
STAR AIR,2020,JAN,278,349,190.671,10921,7601.703,9533.55,79.73633117,0,0,0,684.153,0,0,684.153,4075.566,16.78669907
STAR AIR,2020,FEB,278,380.4,210.117,11622,8473.734,10505.85,80.65729094,0,0,0,761.87,0,0,761.87,4384.182,17.3777001
STAR AIR,2020,MAR,253,330,210.117,8033,6421.409,9371.5,68.52061036,0,0,0,577.927,0,0,577.927,4123.46,14.015584
STAR AIR,2020,APR,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
